    Варианты задания к лабораторным №4,5
Гр. 208 - нечетные(2n-1), 206 - четные(2n),
207 - по номеру в списке группы.

№№  $dec  $id  $idq
 1    1     1    1
 2    2     2    2
 3    3     3    3
 4    4     4    4
 5    1     5    5
 6    2     6    1
 7    3     1    2
 8    4     2    3
 9    1     3    4
10    2     4    5
11    3     5    1
12    4     6    2
13    1     1    3
14    2     2    4
15    3     3    5
16    4     4    1
17    1     5    2
18    2     6    3
19    3     1    4
20    4     2    5
21    1     3    1
22    2     4    2
23    3     5    3
24    4     6    4
25    1     1    5
26    2     2    1
27    3     3    2
28    4     4    3
29    1     5    4
30    2     6    5
31    3     1    1
32    4     2    2
33    1     3    3
34    2     4    4
35    3     5    5
36    4     6    1
37    1     1    2
38    2     2    3
39    3     3    4
40    4     4    5
41    1     5    1
42    2     6    2
43    5     1    3
44    6     2    4
